id,category,original_text,text,where,file,apply_ref,notes
copy-026,Labels,Сторінки,Сторінки,Progress mode,src/components/BookDetailModal.tsx,labels:progress_mode.pages,
copy-027,Labels,Відсотки,Відсотки,Progress mode,src/components/BookDetailModal.tsx,labels:progress_mode.percent,
copy-028,Labels,Січ,Січ,Month label,src/lib/stats.ts,labels:month.1,
copy-029,Labels,Лют,Лют,Month label,src/lib/stats.ts,labels:month.2,
copy-030,Labels,Бер,Бер,Month label,src/lib/stats.ts,labels:month.3,
copy-031,Labels,Кві,Кві,Month label,src/lib/stats.ts,labels:month.4,
copy-032,Labels,Тра,Тра,Month label,src/lib/stats.ts,labels:month.5,
copy-033,Labels,Чер,Чер,Month label,src/lib/stats.ts,labels:month.6,
copy-034,Labels,Лип,Лип,Month label,src/lib/stats.ts,labels:month.7,
copy-035,Labels,Сер,Сер,Month label,src/lib/stats.ts,labels:month.8,
copy-036,Labels,Вер,Вер,Month label,src/lib/stats.ts,labels:month.9,
copy-037,Labels,Жов,Жов,Month label,src/lib/stats.ts,labels:month.10,
copy-038,Labels,Лис,Лис,Month label,src/lib/stats.ts,labels:month.11,
copy-039,Labels,Гру,Гру,Month label,src/lib/stats.ts,labels:month.12,
copy-040,Навігація,DiLibris,DiLibris,Brand,src/components/AppNav.tsx,,
copy-041,Навігація,Бібліотека,Бібліотека,Nav link,src/components/AppNav.tsx,,
copy-042,Навігація,Дашборд,Дашборд,Nav link,src/components/AppNav.tsx,,
copy-043,Навігація,Нотатки,Нотатки,Nav link,src/components/AppNav.tsx,,
copy-044,Навігація,Спільночит,Спільночит,Nav link,src/components/AppNav.tsx,кириличне ч,
copy-045,Навігація,+ Полиця,+ Полиця,Header CTA,src/components/AppNav.tsx,,
copy-046,Навігація,Профіль і налаштування,Профіль і налаштування,Profile menu,src/components/AppNav.tsx,,
copy-047,Навігація,Імпорт із Goodreads,Імпорт із Goodreads,Profile menu,src/components/AppNav.tsx,,
copy-048,Навігація,Вийти,Вийти,Profile menu,src/components/AppNav.tsx,,
copy-049,Навігація,Головна навігація,Головна навігація,aria-label,src/components/AppNav.tsx,a11y,
copy-050,Auth,Твоя віртуальна бібліотека,Твоя віртуальна бібліотека,Login title,src/components/LoginForm.tsx,,
copy-051,Auth,Увійти через Google,Увійти через Google,Button,src/components/LoginForm.tsx,,
copy-052,Auth,Перенаправляємо…,Перенаправляємо…,Loading,src/components/LoginForm.tsx,,
copy-053,Auth,або email,або email,Divider,src/components/LoginForm.tsx,,
copy-054,Auth,твоя@пошта.com,твоя@пошта.com,Placeholder,src/components/LoginForm.tsx,,
copy-055,Auth,Надіслати лінк,Надіслати лінк,Button,src/components/LoginForm.tsx,,
copy-056,Auth,Надсилаємо…,Надсилаємо…,Loading,src/components/LoginForm.tsx,,
copy-057,Auth,Без паролів — лише безпечний лінк на пошту,Без паролів — лише безпечний лінк на пошту,Hint,src/components/LoginForm.tsx,,
copy-058,Auth,Перевір пошту,Перевір пошту,Sent title,src/components/LoginForm.tsx,,
copy-059,Auth,Надіслати ще раз,Надіслати ще раз,Resend,src/components/LoginForm.tsx,,
copy-060,Auth,‹ Інша пошта,‹ Інша пошта,Back,src/components/LoginForm.tsx,,
copy-061,Auth,Надіслали ще раз — перевір пошту.,Надіслали ще раз — перевір пошту.,Resend ok,src/components/LoginForm.tsx,,
copy-062,Auth,Трохи про тебе,Трохи про тебе,Onboarding title,src/components/OnboardingWelcome.tsx,,
copy-063,Auth,Ім'я,Ім'я,Label,src/components/OnboardingWelcome.tsx,,
copy-064,Auth,Як до тебе звертатися?,Як до тебе звертатися?,Placeholder,src/components/OnboardingWelcome.tsx,,
copy-065,Auth,Зайти в бібліотеку,Зайти в бібліотеку,CTA,src/components/OnboardingWelcome.tsx,,
copy-066,Auth,Зберігаємо…,Зберігаємо…,Saving,src/components/OnboardingWelcome.tsx,,
copy-067,Auth,Читач,Читач,Default name,src/components/OnboardingWelcome.tsx,,
copy-068,Auth,Завантаження…,Завантаження…,App boot,src/App.tsx,,
copy-069,Бібліотека,Вечір удома з книгами,Вечір удома з книгами,Hero h1,src/pages/LibraryPage.tsx,,
copy-070,Бібліотека,Шукати книгу або автора…,Шукати книгу або автора…,Search,src/pages/LibraryPage.tsx,,
copy-071,Бібліотека,За полицею,За полицею,Sort,src/pages/LibraryPage.tsx,,
copy-072,Бібліотека,Назва,Назва,Sort,src/pages/LibraryPage.tsx,,
copy-073,Бібліотека,Прогрес,Прогрес,Sort / tab,src/pages/LibraryPage.tsx,,
copy-074,Бібліотека,Тут з'явиться твоя кімната з книгами,Тут з'явиться твоя кімната з книгами,Empty room,src/components/EmptyRoom.tsx,,
copy-075,Бібліотека,Створи першу полицю — і почни розставляти улюблені книжки.,Створи першу полицю — і почни розставляти улюблені книжки.,Empty sub,src/components/EmptyRoom.tsx,,
copy-076,Бібліотека,+ Створити полицю,+ Створити полицю,Empty CTA,src/components/EmptyRoom.tsx,,
copy-077,Бібліотека,Назва полиці,Назва полиці,Add shelf,src/components/AddShelfForm.tsx,,
copy-078,Бібліотека,Статус (необов'язково),Статус (необов'язково),Add shelf,src/components/AddShelfForm.tsx,,
copy-079,Бібліотека,Будь-який,Будь-який,Shelf status chip,src/components/AddShelfForm.tsx,,
copy-080,Бібліотека,напр. Літо 2026,напр. Літо 2026,Placeholder,src/components/AddShelfForm.tsx,,
copy-081,Бібліотека,Створити полицю,Створити полицю,Submit,src/components/AddShelfForm.tsx,,
copy-082,Бібліотека,Додати книгу,Додати книгу,Modal title,src/components/AddBookModal.tsx,,
copy-083,Бібліотека,Пошук,Пошук,Tab,src/components/AddBookModal.tsx,,
copy-084,Бібліотека,Вручну,Вручну,Tab,src/components/AddBookModal.tsx,,
copy-085,Бібліотека,Offline — лише ручне додавання.,Offline — лише ручне додавання.,Offline hint,src/components/AddBookModal.tsx,,
copy-086,Бібліотека,Результати з Open Library,Результати з Open Library,Search source,src/components/AddBookModal.tsx,,
copy-087,Бібліотека,Результати з Google Books,Результати з Google Books,Search source,src/components/AddBookModal.tsx,,
copy-088,Бібліотека,Пошук не вдався — спробуй вручну,Пошук не вдався — спробуй вручну,Search error,src/components/AddBookModal.tsx,,
copy-089,Бібліотека,Спочатку обери або створи полицю.,Спочатку обери або створи полицю.,Hint,src/components/AddBookModal.tsx,,
copy-090,Бібліотека,"Назва, автор або ISBN…","Назва, автор або ISBN…",Search ph,src/components/AddBookModal.tsx,,
copy-091,Бібліотека,Книга,Книга,Fallback title,src/components/BookDetailModal.tsx,,
copy-092,Картка книги,Відгук,Відгук,Tab,src/components/DetailTabs.tsx,,
copy-093,Картка книги,Нотатки,Нотатки,Tab,src/components/DetailTabs.tsx,,
copy-094,Картка книги,Сесії,Сесії,Tab,src/components/DetailTabs.tsx,,
copy-095,Картка книги,прогрес,прогрес,Stat chip,src/components/BookDetailModal.tsx,,
copy-096,Картка книги,днів читання,днів читання,Stat chip,src/components/BookDetailModal.tsx,,
copy-097,Картка книги,загалом,загалом,Stat chip,src/components/BookDetailModal.tsx,,
copy-098,Картка книги,⏱ Почати сесію,⏱ Почати сесію,Primary,src/components/BookDetailModal.tsx,,
copy-099,Картка книги,Мова книги,Мова книги,Label,src/components/BookDetailModal.tsx,,
copy-100,Картка книги,Оцінка,Оцінка,Label,src/components/BookDetailModal.tsx,,
copy-101,Картка книги,Початок,Початок,Date,src/components/BookDetailModal.tsx,,
copy-102,Картка книги,Завершення,Завершення,Date,src/components/BookDetailModal.tsx,,
copy-103,Картка книги,Поточна сторінка,Поточна сторінка,Field,src/components/BookDetailModal.tsx,,
copy-104,Картка книги,Всього сторінок,Всього сторінок,Field,src/components/BookDetailModal.tsx,,
copy-105,Картка книги,"Прогрес, %","Прогрес, %",Field,src/components/BookDetailModal.tsx,,
copy-106,Картка книги,Рахувати в challenge,Рахувати в challenge,Toggle,src/components/BookDetailModal.tsx,,
copy-107,Картка книги,Книга зараховується у твою річну ціль,Книга зараховується у твою річну ціль,Toggle hint,src/components/BookDetailModal.tsx,,
copy-108,Картка книги,Перечитання · попередній прохід збережено,Перечитання · попередній прохід збережено,Re-read,src/components/BookDetailModal.tsx,,
copy-109,Картка книги,Відгуки завжди публічні — їх бачать інші читачі.,Відгуки завжди публічні — їх бачать інші читачі.,Reviews,src/components/BookReviewsSection.tsx,,
copy-110,Картка книги,"Що сподобалось, що ні… (можна лише зірки)","Що сподобалось, що ні… (можна лише зірки)",Placeholder,src/components/BookReviewsSection.tsx,,
copy-111,Картка книги,Ще немає твого відгуку. Поділись враженнями — інші читачі побачать його тут.,Ще немає твого відгуку. Поділись враженнями — інші читачі побачать його тут.,Empty,src/components/BookReviewsSection.tsx,,
copy-112,Картка книги,"Ще немає нотаток. Зберігай цитати, думки або спостереження під час читання.","Ще немає нотаток. Зберігай цитати, думки або спостереження під час читання.",Empty,src/components/BookNotesSection.tsx,,
copy-113,Картка книги,"Цитата, думка або спостереження…","Цитата, думка або спостереження…",Placeholder,src/components/BookNotesSection.tsx,,
copy-114,Картка книги,Ще немає сесій читання.,Ще немає сесій читання.,Empty,src/components/BookDetailModal.tsx,,
copy-115,Картка книги,Записати,Записати,Session btn,src/components/BookDetailModal.tsx,,
copy-116,Картка книги,Зберегти,Зберегти,Footer,src/components/BookDetailModal.tsx,,
copy-117,Картка книги,Зберігаємо…,Зберігаємо…,Saving,src/components/BookDetailModal.tsx,,
copy-118,Картка книги,Видалити,Видалити,Delete,src/components/BookDetailModal.tsx,,
copy-119,Сесія,Сесія читання,Сесія читання,Banner/Timer,src/components/ActiveSessionBanner.tsx,,
copy-120,Сесія,Сесія на паузі,Сесія на паузі,Banner,src/components/ActiveSessionBanner.tsx,,
copy-121,Сесія,Скинути,Скинути,Button,src/components/ActiveSessionBanner.tsx,,
copy-122,Сесія,Пауза,Пауза,Button,src/components/ActiveSessionBanner.tsx,,
copy-123,Сесія,Відновити,Відновити,Button,src/components/ActiveSessionBanner.tsx,,
copy-124,Сесія,Завершити,Завершити,Button,src/components/ActiveSessionBanner.tsx,,
copy-125,Сесія,❚❚ Пауза,❚❚ Пауза,Timer,src/components/SessionTimer.tsx,,
copy-126,Сесія,▷ Далі,▷ Далі,Timer,src/components/SessionTimer.tsx,,
copy-127,Сесія,Сторінок,Сторінок,Field,src/components/SessionTimer.tsx,,
copy-128,Сесія,Нотатка,Нотатка,Field,src/components/SessionTimer.tsx,,
copy-129,Сесія,думка на полях…,думка на полях…,Placeholder,src/components/SessionTimer.tsx,,
copy-130,Сесія,Згорнути,Згорнути,Footer,src/components/SessionTimer.tsx,,
copy-131,Сесія,Завершити й записати,Завершити й записати,Footer,src/components/SessionTimer.tsx,,
copy-132,Сесія,Завантаження сесії…,Завантаження сесії…,Loading,src/components/SessionTimer.tsx,,
copy-133,Нотатки,На полях,На полях,Eyebrow,src/pages/NotesPage.tsx,,
copy-134,Нотатки,Цитати й думки з усіх книг — зібрані в одному місці,Цитати й думки з усіх книг — зібрані в одному місці,Sub,src/pages/NotesPage.tsx,,
copy-135,Нотатки,Усі,Усі,Filter,src/pages/NotesPage.tsx,,
copy-136,Нотатки,Шукати в нотатках…,Шукати в нотатках…,Search,src/pages/NotesPage.tsx,,
copy-137,Нотатки,Поки без нотаток,Поки без нотаток,Empty title,src/components/NotesEmptyState.tsx,,
copy-138,Нотатки,Нічого не знайдено,Нічого не знайдено,Filtered,src/components/NotesEmptyState.tsx,,
copy-139,Нотатки,Додай цитату чи думку з картки будь-якої книги — вони зʼявляться тут.,Додай цитату чи думку з картки будь-якої книги — вони зʼявляться тут.,Empty msg,src/components/NotesEmptyState.tsx,,
copy-140,Нотатки,Спробуй інший тип нотатки або зміни пошуковий запит.,Спробуй інший тип нотатки або зміни пошуковий запит.,Filtered msg,src/components/NotesEmptyState.tsx,,
copy-141,Дашборд,Твій читацький рік,Твій читацький рік,Eyebrow,src/pages/DashboardPage.tsx,,
copy-142,Дашборд,"Теплі підсумки — без тиску, лише радість від прочитаного","Теплі підсумки — без тиску, лише радість від прочитаного",Sub,src/pages/DashboardPage.tsx,,
copy-143,Дашборд,Челендж,Челендж,Challenge,src/pages/DashboardPage.tsx,,
copy-144,Дашборд,Змінити ціль,Змінити ціль,Edit,src/pages/DashboardPage.tsx,,
copy-145,Дашборд,Сховати,Сховати,Edit,src/pages/DashboardPage.tsx,,
copy-146,Дашборд,Зберегти ціль,Зберегти ціль,Edit,src/pages/DashboardPage.tsx,,
copy-147,Дашборд,книг,книг,Stat,src/pages/DashboardPage.tsx,,
copy-148,Дашборд,сторінок,сторінок,Stat,src/pages/DashboardPage.tsx,,
copy-149,Дашборд,часу,часу,Stat,src/pages/DashboardPage.tsx,,
copy-150,Дашборд,сер. оцінка,сер. оцінка,Stat,src/pages/DashboardPage.tsx,,
copy-151,Дашборд,найдовша пауза,найдовша пауза,Stat,src/pages/DashboardPage.tsx,,
copy-152,Дашборд,Книги за місяць,Книги за місяць,Panel,src/pages/DashboardPage.tsx,,
copy-153,Дашборд,Формат,Формат,Panel,src/pages/DashboardPage.tsx,,
copy-154,Дашборд,Топ авторів,Топ авторів,Panel,src/pages/DashboardPage.tsx,,
copy-155,Дашборд,Мови,Мови,Panel,src/pages/DashboardPage.tsx,,
copy-156,Дашборд,"Познач книги як «Прочитано», щоб побачити графік.","Познач книги як «Прочитано», щоб побачити графік.",Empty,src/pages/DashboardPage.tsx,,
copy-157,Дашборд,Поки немає даних за цей рік.,Поки немає даних за цей рік.,Empty,src/pages/DashboardPage.tsx,,
copy-158,Дашборд,Завантажуємо статистику…,Завантажуємо статистику…,Loading,src/pages/DashboardPage.tsx,,
copy-159,Дашборд,Задай ціль на рік — і відстежуй прогрес без тиску.,Задай ціль на рік — і відстежуй прогрес без тиску.,Hint,src/pages/DashboardPage.tsx,,
copy-160,Дашборд,Тримаєш ідеальний темп — продовжуй у своєму ритмі,Тримаєш ідеальний темп — продовжуй у своєму ритмі,Hint,src/pages/DashboardPage.tsx,,
copy-161,Дашборд,Зберегти ціль можна лише з підключенням до інternet,Зберегти ціль можна лише з підключенням до інternet,Error,src/pages/DashboardPage.tsx,⚠️ typo,
copy-162,Спільноchит,Читаємо разом,Читаємо разом,Eyebrow,src/pages/BuddyReadsPage.tsx,,
copy-163,Спільноchит,"Клуби з дедлайном, спільноchатами й нотатками на полях","Клуби з дедлайном, спільноchатами й нотатками на полях",Sub,src/pages/BuddyReadsPage.tsx,,
copy-164,Спільноchит,+ Створити,+ Створити,CTA,src/pages/BuddyReadsPage.tsx,,
copy-165,Спільноchит,Створити клуб,Створити клуб,Empty CTA,src/pages/BuddyReadsPage.tsx,,
copy-166,Спільноchит,Ще немає жодного клубу,Ще немає жодного клубу,Empty,src/pages/BuddyReadsPage.tsx,,
copy-167,Спільноchит,Створи свій або долучися за лінком-запрошенням,Створи свій або долучися за лінком-запрошенням,Empty sub,src/pages/BuddyReadsPage.tsx,,
copy-168,Спільноchит,Архів,Архів,Badge,src/pages/BuddyReadsPage.tsx,,
copy-169,Спільноchит,Показати архів,Показати архів,Checkbox,src/pages/BuddyReadsPage.tsx,,
copy-170,Спільноchит,Спільноchат,Спільноchат,Chat title,src/pages/BuddyReadDetailPage.tsx,,
copy-171,Спільноchит,Прогрес учасників,Прогрес учасників,Panel,src/pages/BuddyReadDetailPage.tsx,,
copy-172,Спільноchит,Спільні нотатки,Спільні нотатки,Panel,src/pages/BuddyReadDetailPage.tsx,,
copy-173,Спільноchит,‹ Усі клуби,‹ Усі клуби,Back,src/pages/BuddyReadDetailPage.tsx,,
copy-174,Спільноchит,Копіювати лінк,Копіювати лінк,Action,src/pages/BuddyReadDetailPage.tsx,,
copy-175,Спільноchит,Скопійовано!,Скопійовано!,Feedback,src/pages/BuddyReadDetailPage.tsx,,
copy-176,Спільноchит,Архівувати,Архівувати,Action,src/pages/BuddyReadDetailPage.tsx,,
copy-177,Спільноchит,Повернути з архіву,Повернути з архіву,Action,src/pages/BuddyReadDetailPage.tsx,,
copy-178,Спільноchит,· організатор,· організатор,Member,src/pages/BuddyReadDetailPage.tsx,,
copy-179,Спільноchит,Ще тихо — напиши першим,Ще тихо — напиши першим,Chat empty,src/pages/BuddyReadDetailPage.tsx,,
copy-180,Спільноchит,Написати повідомлення…,Написати повідомлення…,Chat input,src/pages/BuddyReadDetailPage.tsx,,
copy-181,Спільноchит,Новий клуб,Новий клуб,Sheet,src/components/BuddyCreateSheet.tsx,,
copy-182,Спільноchит,Долучитися за лінком,Долучитися за лінком,Join,src/components/BuddyJoinSheet.tsx,,
copy-183,Спільноchит,Маєш запрошення? Долучайся за лінком.,Маєш запрошення? Долучайся за лінком.,Join panel,src/pages/BuddyReadsPage.tsx,,
copy-184,Спільноchит,Клуб не знайдено,Клуб не знайдено,Error,src/pages/BuddyReadDetailPage.tsx,,
copy-185,Спільноchит,Завантажуємо спільноchит…,Завантажуємо спільноchит…,Loading,src/pages/BuddyReadsPage.tsx,,
copy-186,Спільноchит,Завантажуємо клуб…,Завантажуємо клуб…,Loading,src/pages/BuddyReadDetailPage.tsx,,
copy-187,Налаштування,Профіль і налаштування,Профіль і налаштування,Title,src/components/SettingsSheet.tsx,,
copy-188,Налаштування,Твоє ім'я,Твоє ім'я,Placeholder,src/components/SettingsSheet.tsx,,
copy-189,Налаштування,Київ,Київ,Placeholder,src/components/SettingsSheet.tsx,,
copy-190,Налаштування,Нові нотатки — особисті,Нові нотатки — особисті,Toggle,src/components/SettingsSheet.tsx,,
copy-191,Налаштування,За замовчуванням ховати нотатки від інших,За замовчуванням ховати нотатки від інших,Hint,src/components/SettingsSheet.tsx,,
copy-192,Налаштування,Тижневий дайджест,Тижневий дайджест,Toggle,src/components/SettingsSheet.tsx,,
copy-193,Налаштування,Лист щонеділі з підсумком читання,Лист щонеділі з підсумком читання,Hint,src/components/SettingsSheet.tsx,,
copy-194,Налаштування,Нагадування читати,Нагадування читати,Toggle,src/components/SettingsSheet.tsx,,
copy-195,Налаштування,Делікатний поштовх у тихий вечір,Делікатний поштовх у тихий вечір,Hint,src/components/SettingsSheet.tsx,,
copy-196,Налаштування,Бібліотека,Бібліотека,Section,src/components/SettingsSheet.tsx,,
copy-197,Налаштування,На полиці,На полиці,Field,src/components/SettingsSheet.tsx,,
copy-198,Налаштування,Корінці,Корінці,Option,src/components/SettingsSheet.tsx,,
copy-199,Налаштування,Обкладинки,Обкладинки,Field,src/components/SettingsSheet.tsx,,
copy-200,Налаштування,Справжні,Справжні,Option,src/components/SettingsSheet.tsx,,
copy-201,Налаштування,Типографічні,Типографічні,Option,src/components/SettingsSheet.tsx,,
copy-202,Налаштування,Розмір,Розмір,Field,src/components/SettingsSheet.tsx,,
copy-203,Налаштування,Підпис при наведенні,Підпис при наведенні,Toggle,src/components/SettingsSheet.tsx,,
copy-204,Налаштування,Короткий tooltip з назвою книги на полиці,Короткий tooltip з назвою книги на полиці,Hint,src/components/SettingsSheet.tsx,,
copy-205,Налаштування,Кімната,Кімната,Section,src/components/SettingsSheet.tsx,,
copy-206,Налаштування,Настрій,Настрій,Field,src/components/SettingsSheet.tsx,,
copy-207,Налаштування,Вечір,Вечір,Mood,src/components/SettingsSheet.tsx,,
copy-208,Налаштування,День,День,Mood,src/components/SettingsSheet.tsx,,
copy-209,Налаштування,Колір акценту,Колір акценту,Field,src/components/SettingsSheet.tsx,,
copy-210,Налаштування,Скасувати,Скасувати,Footer,src/components/SettingsSheet.tsx,,
copy-211,Налаштування,Зберегти,Зберегти,Footer,src/components/SettingsSheet.tsx,,
copy-212,Налаштування,Збереження…,Збереження…,Saving,src/components/SettingsSheet.tsx,,
copy-213,Goodreads,Goodreads → DiLibris,Goodreads → DiLibris,Kicker,src/components/GoodreadsImportSheet.tsx,,
copy-214,Goodreads,Імпорт бібліотеки,Імпорт бібліотеки,Title,src/components/GoodreadsImportSheet.tsx,,
copy-215,Goodreads,Обрати CSV-файл,Обрати CSV-файл,Pick btn,src/components/GoodreadsImportSheet.tsx,,
copy-216,Goodreads,Підключись до інтернету — імпорт працює лише онлайн.,Підключись до інтернету — імпорт працює лише онлайн.,Offline,src/components/GoodreadsImportSheet.tsx,,
copy-217,Сповіщення,Сповіщення,Сповіщення,Panel title,src/components/NotifBell.tsx,,
copy-218,Сповіщення,Прочитати всі,Прочитати всі,Panel,src/components/NotifBell.tsx,,
copy-219,Сповіщення,Поки тихо 🌙,Поки тихо 🌙,Empty,src/components/NotifBell.tsx,,
copy-220,Сповіщення,Ти на півдорозі до річної цілі — ще трохи!,Ти на півдорозі до річної цілі — ще трохи!,Template,src/lib/syncActivityNotifications.ts,,
copy-221,Сповіщення,Нове повідомлення у «,Нове повідомлення у «,Template prefix,src/lib/syncActivityNotifications.ts,,
copy-222,Сповіщення,Нова спільна нотатка у «,Нова спільна нотатка у «,Template prefix,src/lib/syncActivityNotifications.ts,,
copy-223,Сповіщення,щойно,щойно,Relative time,src/lib/notificationsStore.ts,,
copy-224,Сповіщення,хв тому,хв тому,Relative time suffix,src/lib/notificationsStore.ts,,
copy-225,Сповіщення,вчора,вчора,Relative time,src/lib/notificationsStore.ts,,
copy-226,Offline,Показано збережену копію — сервер тимчасово недоступний.,Показано збережену копію — сервер тимчасово недоступний.,Banner,src/components/OfflineBanner.tsx,,
copy-227,Offline,Синхронізуємо зміни…,Синхронізуємо зміни…,Banner,src/components/OfflineBanner.tsx,,
copy-228,Offline,"змін, що очікують синхронізації.","змін, що очікують синхронізації.",Banner suffix,src/components/OfflineBanner.tsx,,
copy-229,Offline,Дані станом на,Дані станом на,Dashboard stale prefix,src/pages/DashboardPage.tsx,,
copy-230,Помилки,Не вдалося завантажити бібліотеку,Не вдалося завантажити бібліотеку,Page,src/pages/LibraryPage.tsx,,
copy-231,Помилки,Не вдалося завантажити дашборд,Не вдалося завантажити дашборд,Page,src/pages/DashboardPage.tsx,,
copy-232,Помилки,Не вдалося завантажити нотатки,Не вдалося завантажити нотатки,Page,src/pages/NotesPage.tsx,,
copy-233,Помилки,Не вдалося завантажити Спільноchит,Не вдалося завантажити Спільноchит,Page,src/pages/BuddyReadsPage.tsx,,
copy-234,Помилки,Offline — немає збереженої бібліотеки. Підключись до інternet хоча б раз.,Offline — немає збереженої бібліотеки. Підключись до інternet хоча б раз.,Sync,src/lib/offline/librarySync.ts,⚠️ typo,
copy-235,Помилки,Offline — немає збережених нотаток. Підключись до інternet хоча б раз.,Offline — немає збережених нотаток. Підключись до інternet хоча б раз.,Sync,src/lib/offline/notesSync.ts,⚠️ typo,
copy-236,Помилки,Offline — немає збережених відгуків. Підключись до інternet хоча б раз.,Offline — немає збережених відгуків. Підключись до інternet хоча б раз.,Sync,src/lib/offline/reviewsSync.ts,⚠️ typo,
copy-237,Помилки,Open Library тимчасово недоступна,Open Library тимчасово недоступна,API,src/lib/openLibrary.ts,,
copy-238,Помилки,Google Books тимчасово недоступний,Google Books тимчасово недоступний,API,src/lib/googleBooks.ts,,
copy-239,Помилки,Назва полиці не може бути порожньою,Назва полиці не може бути порожньою,Validation,src/lib/offline/librarySync.ts,,
copy-240,Confirm,Видалити полицю? Книги залишаться без полиці.,Видалити полицю? Книги залишаться без полиці.,Library,src/pages/LibraryPage.tsx,,
copy-241,Confirm,Почати новий прохід? Попереднє прочитання збережеться окремо — зʼявиться новий запис на полиці.,Почати новий прохід? Попереднє прочитання збережеться окремо — зʼявиться новий запис на полиці.,Re-read,src/components/BookDetailModal.tsx,,
copy-242,Confirm,Скинути сесію без запису в журнал?,Скинути сесію без запису в журнал?,Session,src/components/SessionTimer.tsx,,
copy-243,Confirm,Видалити нотатку?,Видалити нотатку?,Notes,src/components/BookNotesSection.tsx,,
copy-244,Confirm,Видалити свій відгук?,Видалити свій відгук?,Reviews,src/components/BookReviewsSection.tsx,,
copy-245,Confirm,Видалити цю сесію?,Видалити цю сесію?,Sessions,src/components/BookDetailModal.tsx,,
